melon-top-10
music
album,artist,genre,release-date,title
After Like,IVE (아이브),댄스,2022.08.22,After Like
BORN PINK,BLACKPINK,랩/힙합,2022.08.19,Pink Venom
BORN PINK,BLACKPINK,랩/힙합,2022.09.16,Shut Down
NewJeans 1st EP 'New Jeans',NewJeans,댄스,2022.08.01,Attention
스트릿 맨 파이터(SMF) Original Vol.3(계급미션),지코 (ZICO),랩/힙합,2022.09.06,새삥 (Prod. ZICO) (Feat. 호미들)
NewJeans 1st EP 'New Jeans',NewJeans,댄스,2022.08.01,Hype Boy
LOVE DIVE,IVE (아이브),댄스,2022.04.05,LOVE DIVE
FOREVER 1 - The 7th Album,소녀시대(GIRLS' JENERATION),댄스,2022.08.05,FOREVER 1
WSG워너비 1집,WSG워너비 (가야G),발라드,2022.07.09,그때 그 순간 그대로 (그그그)
NewJeans 1st EP 'New Jeans',NewJeans,댄스,2022.08.01,Cookie
