After Like,IVE (아이브),After Like,2022.08.22,댄스
Attention,NewJeans,NewJeans 1st EP 'New Jeans',2022.08.01,댄스
Pink Venom,BLACKPINK,Pink Venom,2022.08.19,랩/힙합
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2022.08.01,댄스
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3(계급미션),2022.09.06,랩/힙합
LOVE DIVE,IVE (아이브),LOVE DIVE,2022.04.05,댄스
FOREVER 1,소녀시대(GIRLS' JENERATION),FOREVER 1 - The 7th Album,2022.08.05,댄스
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,2022.07.09,발라드
Cookie,NewJeans,NewJeans 1st EP 'New Jeans',2022.08.01,댄스
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2021.10.11,발라드
